e,fc,fa,fe,nc,nae,tr,w,pc,pa,pe,rc,ra,re,uIc,uIa,uIe,uNc,uNa,uNe,vc,va,ve,x,c2000,PSID
0.440315491962042,0.130763366675922,0.737851392831602,0.560562069760475,0.131249383744226,0.11624834147215,2.21711006579497,0.0157368954575138,0.0552800644973041,0.0979160501391176,0.119986591959623,0.0144753293686011,0.0117449690790531,0.0118969960028568,0.162323023429936,0.110055748973414,0.156612641094346,0.0185085990450361,0.00915298021463066,0.0299486581723712,0.000236799051593861,0.000210994167650899,0.00320373116819619,0.33734986360552,0.268147743330659,300808b6951f62b75e79355db4db62c1
0.692749684076778,0.130058061741804,0.672334926067712,0.380749500108825,0.10992715921896,0.102709649079722,2.19236137724916,0.0191766194202435,0.0368194202574117,0.107799122342516,0.141425609499337,0.00787737362405444,0.00784684208275909,0.0102224218445377,0.0944314993350774,0.0779747079127979,0.109614970284815,0.0282040942382564,0.0188865941130547,0.0191569611666943,0.000224501304522256,0.000299660127048247,0.00134757635085667,0.251240747665367,0.137195153496808,8e44a9fd37e034c323abc07aef461bef
0.501228517920371,0.0259036434357522,0.71072384287151,0.560116723812225,0.13864077208452,0.104097291089815,2.49900323867249,0.0162180639296561,0.0547520431878901,0.153865797540253,0.180715050992213,0.00843555586589005,0.00941684923361643,0.0147782690551919,0.12111924335074,0.100589313363541,0.122870257802214,0.0205433278060055,0.0193303495537523,0.0270022109812808,0.000147340040441249,0.00019122152749184,0.00213380001421869,0.405522899015979,0.203211705020673,9315fb1027beb1b2c8ba6c293da1cba1
0.741909338069262,0.0791937068935008,0.703316202187896,0.328522737575317,0.15803755317684,0.108692457159312,2.21460023634002,0.0141291805713586,0.0349850190550771,0.120325305691614,0.154360753235276,0.0144052111273876,0.00989781792896837,0.0118762999937116,0.132232626207777,0.12884177661323,0.158474729192619,0.031813524843001,0.0216420782169779,0.023031794646875,0.000209852701007198,0.000287630095468888,0.00229945640784257,0.332739160288792,0.234619575240089,0df2922d9bd5f33ff474f7a39e4890bd
0.557073648066903,0.108359493768845,0.747943570158747,0.252257845610669,0.107739645659062,0.103480455848302,2.1839241075293,0.0179626902112184,0.0338432479953125,0.093178433201427,0.214526423779791,0.00969788972128386,0.0139043414750133,0.0139882523789561,0.168936895475234,0.10195324662876,0.16771794983895,0.0313474116148779,0.0302089754630005,0.0331161466732328,0.000152315540077719,0.000139421701424466,0.00265911741249362,0.283658823920938,0.206246974659319,aae1dc9a32b48f2243cd4c11fcd405f3
0.600100672247252,0.106374531661033,0.67317012886321,0.561921712410276,0.135078652716907,0.126971187184436,2.21300303130663,0.00946928953329798,0.0336573358947916,0.123094823659012,0.148462678946148,0.00761439894739741,0.00836423825311735,0.0137898604029097,0.177235659858804,0.116868350706243,0.162564768108701,0.0321549940848423,0.0248376929961747,0.0282468408369008,0.000125562707983939,0.000216749801629941,0.000257919059487489,0.336382710898813,0.232654782798743,9a0d47a27ac6a096f6e32c2c9245189a
0.783448316115823,0.0235511059791424,0.715853613261613,0.342422788858173,0.113550955233706,0.104658024108073,2.44594575004093,0.0122316895463763,0.0459505037581031,0.119248031202842,0.34256847711674,0.00769485142273768,0.0123098990777162,0.013046586291746,0.108986665995371,0.0716040603253655,0.118122678172365,0.0320611497166275,0.0318786806582396,0.0323654316808452,0.000178073790013106,0.000107658366348643,0.000123984295365408,0.378361464541684,0.175540304237931,eb3a28a46086d28ac8985de0f1b070cf
0.436864312555727,0.0250131189915116,0.742737267369498,0.595132933204099,0.108970464464571,0.101240734844246,1.99939478276448,0.0112612154953267,0.0379078093046935,0.0824861042134691,0.181900590770938,0.00895117535499607,0.007780048813463,0.0133383237430104,0.1262523662162,0.116892891640031,0.148661049760231,0.0143305765862788,0.0122095081109369,0.0188777455926641,0.00021658033979745,0.000271197838722606,0.00120595675879518,0.285616049885536,0.242606537865692,0fe086acabaec66c0d7979ad7bc0b2ae
0.616921669165814,0.0169510176552286,0.744171297991026,0.42910538553655,0.106875085915183,0.10465195321636,2.19135605857287,0.0179222848828162,0.042833564794399,0.0958612565237082,0.196421338889068,0.00508506680604448,0.00849670187190421,0.0107055839277402,0.125791829771266,0.102472213748366,0.102982932693183,0.0252778395934983,0.0000663624291077121,0.0229187410853821,0.00019771904863365,0.00027761419502765,0.00258828608932056,0.288105202319846,0.168399513947386,7dacced7469c35db4e5ed645eeebf284
0.612669483810908,0.142725592932166,0.704524535861983,0.463790439980264,0.123924975786566,0.117533484047936,2.26695087971893,0.0118106487995191,0.0340263939439846,0.137688569238588,0.178461020326833,0.0126863675516857,0.00678659469020412,0.010797581149061,0.129712941228922,0.0839440568276174,0.135485911267197,0.0287995612202112,0.0127963420361236,0.0262259317853343,0.000129870393685978,0.000171904961416415,0.00111302566361774,0.266739010135221,0.158717089787013,7ddf378939b193f293dd342f83cdc4ed
